nom,prenom,boite,domaine,email,linkedin_url,statut,canal,date_email,date_linkedin,relance_j3,relance_j7,relance_j14,reponse,dnc,notes
,Fondateur,StemInov,steminov.com,,,Nouveau,,,,,,,,,
,Fondateur,Metafora Biosystems,metafora-biosystems.com,,,Nouveau,,,,,,,,,
,Fondateur,Alcediag,alcediag.com,,,Nouveau,,,,,,,,,
,Fondateur,Dessintey,dessintey.com,,,Nouveau,,,,,,,,,
,Fondateur,Vect-Horus,vect-horus.com,,,Nouveau,,,,,,,,,
,Fondateur,Vaxinano,vaxinano.com,,,Nouveau,,,,,,,,,
,Fondateur,Theranexus,theranexus.com,,,Nouveau,,,,,,,,,
,Fondateur,CorWave,corwave.com,,,Nouveau,,,,,,,,,
,Fondateur,BioMAdvanced Diagnostics,biomadvanced.com,,,Nouveau,,,,,,,,,
,Fondateur,NATEOSANTE,nateosante.com,,,Nouveau,,,,,,,,,
,Fondateur,Lovaltech,lovaltech.com,,,Nouveau,,,,,,,,,
,Fondateur,FineHeart,fineheart.fr,,,Nouveau,,,,,,,,,
,Fondateur,ABIONYX Pharma,abionyx.com,,,Nouveau,,,,,,,,,
,Fondateur,Affluent Medical,affluentmedical.com,,,Nouveau,,,,,,,,,
,Fondateur,SURGAR,surgar.fr,,,Nouveau,,,,,,,,,
,Fondateur,PDCline Pharma,pdc-line.com,,,Nouveau,,,,,,,,,
,Fondateur,Sensorion,sensorion.com,,,Nouveau,,,,,,,,,
,Fondateur,POXEL,poxelinc.com,,,Nouveau,,,,,,,,,
,Fondateur,BIOPHTA,biophta.com,,,Nouveau,,,,,,,,,
,Fondateur,Pharnext,pharnext.com,,,Nouveau,,,,,,,,,
,Fondateur,ERYTECH,erytech.com,,,Nouveau,,,,,,,,,
,Fondateur,OSE Immunotherapeutics,ose-immuno.com,,,Nouveau,,,,,,,,,
,Fondateur,KAIROS DISCOVERY,kairos-discovery.com,,,Nouveau,,,,,,,,,
,Fondateur,Axomove,axomove.com,,,Nouveau,,,,,,,,,
,Fondateur,SMART IMMUNE,smartimmune.com,,,Nouveau,,,,,,,,,
,Fondateur,CARMAT,carmat.com,,,Nouveau,,,,,,,,,
,Fondateur,Biophytis,biophytis.com,,,Nouveau,,,,,,,,,
,Fondateur,THERACLION,theraclion.com,,,Nouveau,,,,,,,,,
,Fondateur,PulseLife,pulselife.fr,,,Nouveau,,,,,,,,,
,Fondateur,HighLife,highlifesas.com,,,Nouveau,,,,,,,,,
,Fondateur,Advanced BioDesign,advancedbiodesign.fr,,,Nouveau,,,,,,,,,
,Fondateur,GeNeuro,gneuro.com,,,Nouveau,,,,,,,,,
,Fondateur,XENOTHERA,xenothera.com,,,Nouveau,,,,,,,,,
,Fondateur,DBV Technologies,dbvtechnologies.com,,,Nouveau,,,,,,,,,
,Fondateur,Oncovita,oncovita.com,,,Nouveau,,,,,,,,,
,Fondateur,Alzprotect,alzprotect.com,,,Nouveau,,,,,,,,,
,Fondateur,LinKinVax,linkinvax.com,,,Nouveau,,,,,,,,,
,Fondateur,Transgene,transgene.fr,,,Nouveau,,,,,,,,,
,Fondateur,SEABELIFE,seabelife.com,,,Nouveau,,,,,,,,,
,Fondateur,DOMAIN Therapeutics,domaintherapeutics.com,,,Nouveau,,,,,,,,,
,Fondateur,Brenus Pharma,brenuspharma.com,,,Nouveau,,,,,,,,,
,Fondateur,Amolyt Pharma,amolytpharma.com,,,Nouveau,,,,,,,,,
,Fondateur,Inside Therapeutics,insidetherapeutics.com,,,Nouveau,,,,,,,,,
,Fondateur,EVerZom,everzom.com,,,Nouveau,,,,,,,,,
,Fondateur,Avatar Medical,avatarmedical.ai,,,Nouveau,,,,,,,,,
,Fondateur,Hemerion,hemerion.com,,,Nouveau,,,,,,,,,
,Fondateur,VALBIOTIS,valbiotis.com,,,Nouveau,,,,,,,,,
,Fondateur,Elixir Health,elixirhealth.fr,,,Nouveau,,,,,,,,,
,Fondateur,Caranx Medical,caranxmedical.com,,,Nouveau,,,,,,,,,
,Fondateur,Qubit Pharmaceuticals,qubitpharma.com,,,Nouveau,,,,,,,,,
